product,deployed_asset,local_filename,manufacturer_product_page,source_type,reuse_basis,permission_status,verification_date,width,height,file_size_bytes,alt_text,notes
Ninja Double Stack XL SL400UK,https://assets.sharkninja.com/image/upload/dpr_1.0%2Cf_auto%2Cq_60/v1/EMEA/PDP%20Imagery/SL400EU/Ninja-SL400UK-InUse-Kitchen-Comp-1632159133?_i=AH,,https://www.sharkninja.co.uk/ninja-double-stack-xl-9-5l-air-fryer-sl400uk/SL400UK.html,Official manufacturer-hosted product image,Official manufacturer CDN image used at site owner direction; local materialisation blocked by source AVIF/CDN response in this environment.,Separate republication licence not independently confirmed,2026-08-18,,,,Ninja Double Stack XL SL400UK product image,Remote manufacturer-hosted fallback. Download and self-host before production if strict local-only assets are required.
Russell Hobbs Satisfry Large Air Fryer,/images/products/russell-hobbs-satisfry-large-air-fryer.webp,russell-hobbs-satisfry-large-air-fryer.webp,https://uk.russellhobbs.com/satisfry-airfryer-large-26510,Manufacturer/brand product image or exact-model retained asset,Official current manufacturer page used to verify the product; image stored locally for the comparison page.,Separate republication licence not independently confirmed,2026-08-18,700,700,24332,Russell Hobbs Satisfry Large Air Fryer product image,Local optimised WebP; exact/current product match checked against the source register.
Ninja CRISPi PRO 5-in-1 Glass Air Fryer Family Set AS090UKGN38,https://assets.sharkninja.com/image/list/fn_select%3Ajq%3Afirst%28.%5B%5D%7Cif%20has%28%22metadata%22%29%20then%20select%28any%28.metadata%5B%5D%3B%20.external_id%20%3D%3D%20%22sfcc-is-main%22%20and%20.value.value%20%3D%3D%20%22True%22%29%29%20else%20empty%20end%29/f_auto%2Cq_auto%2Cdpr_auto/w_200%2Ch_200%2Ce_background_removal/b_rgb%3Ae7e7e7/AS090UK-MASTER-646d6a.json?_i=AG,,https://www.sharkninja.co.uk/ninja-crispi-pro-5-in-1-glass-air-fryer---green-family-set/AS090UKGN38.html,Official manufacturer-hosted product image,Official manufacturer CDN image used at site owner direction; local materialisation blocked by source AVIF/CDN response in this environment.,Separate republication licence not independently confirmed,2026-08-18,,,,Ninja CRISPi PRO 5-in-1 Glass Air Fryer Family Set AS090UKGN38 product image,Remote manufacturer-hosted fallback. Download and self-host before production if strict local-only assets are required.
Withings Body Smart,/images/products/withings-body-smart.webp,withings-body-smart.webp,https://www.withings.com/en-uk/products/body-smart-black,Manufacturer/brand product image or exact-model retained asset,Official current manufacturer page used to verify the product; image stored locally for the comparison page.,Separate republication licence not independently confirmed,2026-08-18,1043,1043,14012,Withings Body Smart product image,Local optimised WebP; exact/current product match checked against the source register.
Eufy Smart Scale P3,/images/products/eufy-smart-scale-p3.webp,eufy-smart-scale-p3.webp,https://www.eufy.com/uk/products/t9150111,Manufacturer/brand product image or exact-model retained asset,Official current manufacturer page used to verify the product; image stored locally for the comparison page.,Separate republication licence not independently confirmed,2026-08-18,1400,1400,42328,Eufy Smart Scale P3 product image,Local optimised WebP; exact/current product match checked against the source register.
Garmin Index S2 Smart Scale,/images/products/garmin-index-s2-smart-scale.webp,garmin-index-s2-smart-scale.webp,https://www.garmin.com/en-GB/p/679362/,Manufacturer/brand product image or exact-model retained asset,Official current manufacturer page used to verify the product; image stored locally for the comparison page.,Separate republication licence not independently confirmed,2026-08-18,1200,1200,28174,Garmin Index S2 Smart Scale product image,Local optimised WebP; exact/current product match checked against the source register.
Braun TriForce PowerBlend 9,https://dam.delonghi.com/1000x1000/assets/219593,,https://www.braunhousehold.com/en-gb/p/powerblend-9-jug-blender-powerblend-9-jug-blender-jb-9040-black/JB9040BK.html,Official manufacturer-hosted product image,Official manufacturer CDN image used at site owner direction; local materialisation blocked by source AVIF/CDN response in this environment.,Separate republication licence not independently confirmed,2026-08-18,,,,Braun TriForce PowerBlend 9 product image,Remote manufacturer-hosted fallback. Download and self-host before production if strict local-only assets are required.
Nutribullet 600 Series,/images/products/nutribullet-600-series.webp,nutribullet-600-series.webp,https://nutribullet.co.uk/collections/nutribullet-600,Manufacturer/brand product image or exact-model retained asset,Official current manufacturer page used to verify the product; image stored locally for the comparison page.,Separate republication licence not independently confirmed,2026-08-18,1200,1200,38872,Nutribullet 600 Series product image,Local optimised WebP; exact/current product match checked against the source register.
Vitamix A3500i,https://www.vitamix.com/us/en_us/products/media_b5919e14dd98c14fbebec6d55f8a15687566f7e4.png?format=png&optimize=medium&width=750,,https://www.vitamixuk.com/product/a3500i/,Official manufacturer-hosted product image,Official manufacturer CDN image used at site owner direction; local materialisation blocked by source AVIF/CDN response in this environment.,Separate republication licence not independently confirmed,2026-08-18,,,,Vitamix A3500i product image,Remote manufacturer-hosted fallback. Download and self-host before production if strict local-only assets are required.
Bose SoundLink Flex Portable Speaker (2nd Gen),https://assets.bosecreative.com/transform/f555c350-f979-4e8b-a161-009bb54bc1d8/FY27_SLFLXIILE27-DewdropMint_PDP_EcomGal1_Silo_1500x1120?format=avif&io=width%3A816%2Cheight%3A667%2Ctransform%3Afit&quality=95,,https://www.bose.co.uk/p/speakers/bose-soundlink-flex-portable-speaker-2nd-gen/SLFLXII-SPEAKERWIRELESS.html,Official manufacturer-hosted product image,Official manufacturer CDN image used at site owner direction; local materialisation blocked by source AVIF/CDN response in this environment.,Separate republication licence not independently confirmed,2026-08-18,,,,Bose SoundLink Flex Portable Speaker (2nd Gen) product image,Remote manufacturer-hosted fallback. Download and self-host before production if strict local-only assets are required.
Anker Soundcore 3,/images/products/anker-soundcore-3.webp,anker-soundcore-3.webp,https://www.soundcore.com/uk/products/a3117011,Manufacturer/brand product image or exact-model retained asset,Official current manufacturer page used to verify the product; image stored locally for the comparison page.,Separate republication licence not independently confirmed,2026-08-18,1400,1400,95802,Anker Soundcore 3 product image,Local optimised WebP; exact/current product match checked against the source register.
Sonos Move 2,/images/products/sonos-move-2.webp,sonos-move-2.webp,https://www.sonos.com/en-gb/shop/move-2,Manufacturer/brand product image or exact-model retained asset,Official current manufacturer page used to verify the product; image stored locally for the comparison page.,Separate republication licence not independently confirmed,2026-08-18,1280,1280,123366,Sonos Move 2 product image,Local optimised WebP; exact/current product match checked against the source register.
Sage Barista Touch Impress with Cold Extraction,https://assets.sageappliances.com/cdn-cgi/image/width%3D1300%2Cformat%3Dauto/BES882/SES882BSS4GUK1/pdp_1300px.png?pdp=,,https://www.sageappliances.com/en-gb/product/bes882,Official manufacturer-hosted product image,Official manufacturer CDN image used at site owner direction; local materialisation blocked by source AVIF/CDN response in this environment.,Separate republication licence not independently confirmed,2026-08-18,,,,Sage Barista Touch Impress with Cold Extraction product image,Remote manufacturer-hosted fallback. Download and self-host before production if strict local-only assets are required.
Philips Baristina,/images/products/philips-baristina.webp,philips-baristina.webp,https://www.home.id/en-GB/BAR300,Manufacturer/brand product image or exact-model retained asset,Official current manufacturer page used to verify the product; image stored locally for the comparison page.,Separate republication licence not independently confirmed,2026-08-18,240,240,3254,Philips Baristina product image,Local optimised WebP; exact/current product match checked against the source register.
Jura J10,/images/products/jura-j10.webp,jura-j10.webp,https://uk.jura.com/en/homeproducts/automatic-coffee-machines/j10-piano-black-inta-15664,Manufacturer/brand product image or exact-model retained asset,Official current manufacturer page used to verify the product; image stored locally for the comparison page.,Separate republication licence not independently confirmed,2026-08-18,900,990,36608,Jura J10 product image,Local optimised WebP; exact/current product match checked against the source register.
MeacoDry Arete Two 20L,/images/products/meacodry-arete-two-20l.webp,meacodry-arete-two-20l.webp,https://www.meaco.com/products/meacodry-arete-two-20l-dual-dehumidifier-hepa-air-purifier,Manufacturer/brand product image or exact-model retained asset,Official current manufacturer page used to verify the product; image stored locally for the comparison page.,Separate republication licence not independently confirmed,2026-08-18,1080,1080,58266,MeacoDry Arete Two 20L product image,Local optimised WebP; exact/current product match checked against the source register.
Pro Breeze 20L Dehumidifier,/images/products/pro-breeze-20l-dehumidifier.webp,pro-breeze-20l-dehumidifier.webp,https://probreeze.com/products/20l-dehumidifier-with-max-extraction-and-laundry-mode,Manufacturer/brand product image or exact-model retained asset,Official current manufacturer page used to verify the product; image stored locally for the comparison page.,Separate republication licence not independently confirmed,2026-08-18,1080,1080,12018,Pro Breeze 20L Dehumidifier product image,Local optimised WebP; exact/current product match checked against the source register.
De’Longhi Tasciugo AriaDry Multi DEX212SF,/images/products/delonghi-tasciugo-ariadry-multi-dex212sf.webp,delonghi-tasciugo-ariadry-multi-dex212sf.webp,https://www.delonghi.com/en-gb/p/tasciugo-ariadry-multi-tasciugo-ariadry-multi-dehumidifier-dex212sf/DEX212SF.html,Manufacturer/brand product image or exact-model retained asset,Official current manufacturer page used to verify the product; image stored locally for the comparison page.,Separate republication licence not independently confirmed,2026-08-18,902,902,9292,De’Longhi Tasciugo AriaDry Multi DEX212SF product image,Local optimised WebP; exact/current product match checked against the source register.
BenQ e-Reading Desk Lamp,https://image.benq.com/is/image/benqco/table-9?%24ResponsivePreset%24=,,https://www.benq.eu/en-uk/lighting/e-reading-desk-lamp/e-reading.html,Official manufacturer-hosted product image,Official manufacturer CDN image used at site owner direction; local materialisation blocked by source AVIF/CDN response in this environment.,Separate republication licence not independently confirmed,2026-08-18,,,,BenQ e-Reading Desk Lamp product image,Remote manufacturer-hosted fallback. Download and self-host before production if strict local-only assets are required.
IKEA Forså Work Lamp,/images/products/ikea-fors-work-lamp.webp,ikea-fors-work-lamp.webp,https://www.ikea.com/gb/en/p/forsa-work-lamp-black-80106012/,Manufacturer/brand product image or exact-model retained asset,Official current manufacturer page used to verify the product; image stored locally for the comparison page.,Separate republication licence not independently confirmed,2026-08-18,1400,1400,62882,IKEA Forså Work Lamp product image,Local optimised WebP; exact/current product match checked against the source register.
Dyson Solarcycle Morph,/images/products/dyson-solarcycle-morph.webp,dyson-solarcycle-morph.webp,https://www.dyson.co.uk/lighting/desk-lamps/solarcycle-morph/white-silver,Manufacturer/brand product image or exact-model retained asset,Official current manufacturer page used to verify the product; image stored locally for the comparison page.,Separate republication licence not independently confirmed,2026-08-18,800,1200,16334,Dyson Solarcycle Morph product image,Local optimised WebP; exact/current product match checked against the source register.
Philips Sonicare 7100,/images/products/philips-sonicare-7100.webp,philips-sonicare-7100.webp,https://www.philips.co.uk/c-p/HX7420_02/7100-rechargeable-sonic-electric-toothbrush,Manufacturer/brand product image or exact-model retained asset,Official current manufacturer page used to verify the product; image stored locally for the comparison page.,Separate republication licence not independently confirmed,2026-08-18,246,410,10034,Philips Sonicare 7100 product image,Local optimised WebP; exact/current product match checked against the source register.
Ordo Sonic Lite,/images/products/ordo-sonic-lite.webp,ordo-sonic-lite.webp,https://www.ordolife.com/products/ordo-sonic-lite-electric-toothbrush-stone,Manufacturer/brand product image or exact-model retained asset,Official current manufacturer page used to verify the product; image stored locally for the comparison page.,Separate republication licence not independently confirmed,2026-08-18,480,480,9048,Ordo Sonic Lite product image,Local optimised WebP; exact/current product match checked against the source register.
Oral-B iO Series 10,/images/products/oral-b-io-series-10.webp,oral-b-io-series-10.webp,https://www.oralb.co.uk/en-gb/products/electric-toothbrushes/oral-b-io10-lunar-gold-special-edition-electric-toothbrush,Official manufacturer-hosted iO10 product/lifestyle image,Official Oral-B iO10 guide asset used at site owner direction and stored locally for the comparison page.,Separate republication licence not independently confirmed,2026-08-18,780,1161,20278,Oral-B iO Series 10 product image,Local optimised WebP downloaded from Oral-B official Contentful asset; shows iO10 brush with iO Sense charger.
